dataset,perturbation,seed,lr_accuracy,svm_accuracy,accuracy_difference,lr_retention,svm_retention,retention_difference,lr_relative_drop,svm_relative_drop
banking77,char_delete,256,0.7857142857142857,0.8123376623376624,0.02662337662337666,0.9149338374291116,0.9121399927087132,-0.002793844720398453,0.0850661625708884,0.0878600072912868
banking77,char_delete,512,0.7866883116883117,0.8224025974025974,0.0357142857142857,0.9160680529300568,0.92344148742253,0.007373434492473185,0.0839319470699433,0.0765585125774699
banking77,char_delete,1024,0.7896103896103897,0.8159090909090909,0.026298701298701266,0.9194706994328924,0.91615020051039,-0.003320498922502413,0.0805293005671076,0.0838497994896099
banking77,char_delete,2026,0.7831168831168831,0.8201298701298702,0.03701298701298705,0.9119092627599245,0.9208895370032812,0.00898027424335679,0.0880907372400756,0.0791104629967189
banking77,word_delete,1,0.7512987012987012,0.7899350649350649,0.03863636363636369,0.8748582230623818,0.8869850528618302,0.012126829799448346,0.1251417769376182,0.1130149471381699
banking77,word_delete,7,0.7493506493506493,0.7876623376623376,0.0383116883116883,0.8725897920604915,0.8844331024425811,0.011843310382089633,0.1274102079395085,0.1155668975574189
banking77,word_delete,21,0.7662337662337663,0.7912337662337663,0.025000000000000022,0.892249527410208,0.8884433102442582,-0.0038062171659498656,0.1077504725897919,0.1115566897557418
banking77,word_delete,42,0.7587662337662338,0.7805194805194805,0.021753246753246747,0.8835538752362949,0.8764126868392271,-0.007141188397067788,0.116446124763705,0.1235873131607729
banking77,word_delete,84,0.7512987012987012,0.7831168831168831,0.03181818181818186,0.8748582230623818,0.8793292016040831,0.004470978541701309,0.1251417769376182,0.1206707983959169
banking77,word_delete,123,0.7522727272727273,0.7831168831168831,0.030844155844155785,0.8759924385633271,0.8793292016040831,0.00333676304075603,0.1240075614366728,0.1206707983959169
banking77,word_delete,256,0.7457792207792208,0.7792207792207793,0.033441558441558494,0.8684310018903592,0.8749544294567991,0.0065234275664399766,0.1315689981096408,0.1250455705432008
banking77,word_delete,512,0.7633116883116883,0.7892857142857143,0.025974025974025983,0.8888468809073724,0.886255924170616,-0.0025909567367563557,0.1111531190926276,0.1137440758293839
banking77,word_delete,1024,0.7551948051948052,0.7844155844155845,0.02922077922077926,0.8793950850661626,0.8807874589865111,0.001392373920348522,0.1206049149338373,0.1192125410134888
banking77,word_delete,2026,0.7577922077922078,0.7818181818181819,0.02402597402597406,0.8824196597353497,0.8778709442216551,-0.004548715513694623,0.1175803402646502,0.1221290557783448
clinc150,typo,1,0.7882222222222223,0.8113333333333334,0.023111111111111082,0.8863068465767118,0.8902706656912949,0.0039638191145831,0.1136931534232882,0.1097293343087051
clinc150,typo,7,0.7886666666666666,0.8135555555555556,0.02488888888888896,0.8868065967016492,0.8927090953425995,0.005902498640950271,0.1131934032983508,0.1072909046574006
clinc150,typo,21,0.7848888888888889,0.8024444444444444,0.017555555555555546,0.8825587206396801,0.8805169470860765,-0.0020417735536035764,0.1174412793603198,0.1194830529139234
clinc150,typo,42,0.7962222222222223,0.8148888888888889,0.01866666666666661,0.8953023488255873,0.894172153133382,-0.0011301956922052936,0.1046976511744127,0.1058278468666178
clinc150,typo,84,0.7882222222222223,0.8082222222222222,0.019999999999999907,0.8863068465767118,0.8868568641794684,0.0005500176027566361,0.1136931534232882,0.1131431358205316
clinc150,typo,123,0.794,0.8168888888888889,0.022888888888888848,0.8928035982008996,0.8963667398195562,0.0035631416186565623,0.1071964017991003,0.1036332601804437
