dataset,perturbation,requested_severity,word_realized_severity,char_realized_severity,word_clean_accuracy,char_clean_accuracy,word_mean_accuracy,char_mean_accuracy,accuracy_difference,word_retention,char_retention,retention_difference,word_relative_drop,char_relative_drop
clinc150,typo,0.1,0.1003533985157262,0.1003533985157262,0.9113333333333332,0.9164444444444444,0.8635111111111111,0.8854,0.021888888888888847,0.947524993903926,0.9661251212415132,0.018600127337587202,0.0524750060960741,0.0338748787584868
clinc150,char_delete,0.1,0.1006354800811705,0.1006354800811705,0.9113333333333332,0.9164444444444444,0.8752444444444445,0.9027333333333336,0.027488888888889118,0.960399902462814,0.9850387972841904,0.024638894821376378,0.039600097537186,0.0149612027158098
clinc150,word_delete,0.1,0.1001520045601368,0.1001520045601368,0.9113333333333332,0.9164444444444444,0.8652666666666666,0.865488888888889,0.00022222222222234578,0.9494513533284566,0.9443986420950536,-0.005052711233403007,0.0505486466715435,0.0556013579049465
clinc150,typo,0.2,0.200680292142773,0.200680292142773,0.9113333333333332,0.9164444444444444,0.8111777777777777,0.8542444444444446,0.04306666666666692,0.8900999756157034,0.932129000969932,0.04202902535422859,0.1099000243842965,0.0678709990300678
clinc150,char_delete,0.2,0.2007262629499092,0.2007262629499092,0.9113333333333332,0.9164444444444444,0.836288888888889,0.8891333333333333,0.05284444444444436,0.917654230675445,0.9701988360814744,0.05254460540602934,0.0823457693245549,0.0298011639185256
clinc150,word_delete,0.2,0.2003555820960343,0.2003555820960343,0.9113333333333332,0.9164444444444444,0.8085999999999999,0.8092666666666668,0.0006666666666669263,0.8872713972201902,0.8830504364694471,-0.004220960750743075,0.1127286027798098,0.1169495635305527
clinc150,typo,0.3,0.2988602897867829,0.2988602897867829,0.9113333333333332,0.9164444444444444,0.7456444444444444,0.8144,0.06875555555555557,0.818190685198732,0.8886517943743939,0.07046110917566195,0.181809314801268,0.1113482056256061
clinc150,char_delete,0.3,0.2996902702125387,0.2996902702125387,0.9113333333333332,0.9164444444444444,0.793088888888889,0.8750222222222221,0.08193333333333319,0.8702511582540844,0.9548011639185257,0.08455000566444126,0.1297488417459156,0.0451988360814742
clinc150,word_delete,0.3,0.2995494150538801,0.2995494150538801,0.9113333333333332,0.9164444444444444,0.7412666666666666,0.7398,-0.0014666666666666162,0.813386978785662,0.8072502424830261,-0.006136736302635892,0.186613021214338,0.1927497575169738
clinc150,typo,0.4,0.3987778301331134,0.3987778301331134,0.9113333333333332,0.9164444444444444,0.6707777777777777,0.7702666666666667,0.09948888888888896,0.7360399902462813,0.8404946653734239,0.10445467512714257,0.2639600097537186,0.1595053346265761
clinc150,char_delete,0.4,0.4001388443874826,0.4001388443874826,0.9113333333333332,0.9164444444444444,0.7418444444444445,0.8594000000000002,0.11755555555555564,0.8140209704950012,0.9377546071774976,0.12373363668249637,0.1859790295049987,0.0622453928225023
clinc150,word_delete,0.4,0.3997909937298119,0.3997909937298119,0.9113333333333332,0.9164444444444444,0.6612444444444444,0.6662222222222222,0.004977777777777748,0.725579127042185,0.7269641125121243,0.0013849854699393704,0.2744208729578152,0.2730358874878758
hwu64,typo,0.05,0.0511455916473317,0.0511455916473317,0.8596654275092936,0.8773234200743495,0.8380111524163569,0.8631040892193308,0.025092936802973864,0.9748108108108108,0.983792372881356,0.008981562070545235,0.0251891891891891,0.0162076271186441
hwu64,char_delete,0.05,0.0512796431087109,0.0512796431087109,0.8596654275092936,0.8773234200743495,0.84182156133829,0.8704460966542751,0.028624535315985078,0.9792432432432432,0.9921610169491524,0.012917773705909186,0.0207567567567567,0.0078389830508475
hwu64,word_delete,0.05,0.0506879777623349,0.0506879777623349,0.8596654275092936,0.8773234200743495,0.8362453531598513,0.8538104089219332,0.017565055762081894,0.9727567567567568,0.973199152542373,0.00044239578561622306,0.0272432432432432,0.0268008474576271
hwu64,typo,0.1,0.1007395591647331,0.1007395591647331,0.8596654275092936,0.8773234200743495,0.8185873605947955,0.849907063197026,0.03131970260223049,0.9522162162162162,0.9687499999999998,0.016533783783783562,0.0477837837837837,0.03125
hwu64,char_delete,0.1,0.1016435783047663,0.1016435783047663,0.8596654275092936,0.8773234200743495,0.8201672862453531,0.862639405204461,0.04247211895910796,0.9540540540540542,0.9832627118644068,0.029208657810352645,0.0459459459459459,0.0167372881355932
hwu64,word_delete,0.1,0.1004030576789437,0.1004030576789437,0.8596654275092936,0.8773234200743495,0.8171003717472118,0.8330855018587361,0.01598513011152425,0.9504864864864864,0.9495762711864408,-0.000910215300045536,0.0495135135135134,0.0504237288135593
hwu64,typo,0.2,0.2016241299303944,0.2016241299303944,0.8596654275092936,0.8773234200743495,0.7696096654275093,0.8202602230483272,0.05065055762081794,0.8952432432432433,0.9349576271186442,0.03971438387540083,0.1047567567567567,0.0650423728813559
hwu64,char_delete,0.2,0.2022305705564687,0.2022305705564687,0.8596654275092936,0.8773234200743495,0.7846654275092937,0.8482342007434944,0.06356877323420074,0.9127567567567568,0.9668432203389832,0.05408646358222635,0.0872432432432432,0.033156779661017
hwu64,word_delete,0.2,0.2001111883252258,0.2001111883252258,0.8596654275092936,0.8773234200743495,0.7638475836431227,0.7828066914498141,0.01895910780669141,0.8885405405405405,0.8922669491525423,0.003726408612001797,0.1114594594594594,0.1077330508474576
hwu64,typo,0.3,0.2995214617169373,0.2995214617169373,0.8596654275092936,0.8773234200743495,0.7133828996282527,0.7854089219330854,0.07202602230483268,0.8298378378378379,0.8952330508474577,0.06539521300961981,0.1701621621621621,0.1047669491525424
hwu64,char_delete,0.3,0.299483446818502,0.299483446818502,0.8596654275092936,0.8773234200743495,0.7346654275092936,0.8285315985130112,0.09386617100371752,0.8545945945945947,0.9443855932203392,0.08979099862574447,0.1454054054054053,0.055614406779661
hwu64,word_delete,0.3,0.2987630298818623,0.2987630298818623,0.8596654275092936,0.8773234200743495,0.7034386617100371,0.7222118959107806,0.018773234200743505,0.8182702702702704,0.8231991525423729,0.0049288822721024195,0.1817297297297297,0.1768008474576271
hwu64,typo,0.4,0.4023636890951276,0.4023636890951276,0.8596654275092936,0.8773234200743495,0.6473048327137547,0.746096654275093,0.09879182156133826,0.7529729729729729,0.8504237288135593,0.09745075584058638,0.247027027027027,0.1495762711864407
hwu64,char_delete,0.4,0.4052829302653205,0.4052829302653205,0.8596654275092936,0.8773234200743495,0.6846654275092937,0.8152416356877324,0.13057620817843874,0.7964324324324326,0.929237288135593,0.13280485570316047,0.2035675675675675,0.0707627118644068
hwu64,word_delete,0.4,0.4004725503822099,0.4004725503822099,0.8596654275092936,0.8773234200743495,0.6403345724907064,0.6614312267657991,0.021096654275092774,0.7448648648648649,0.7539194915254239,0.009054626660559006,0.2551351351351351,0.2460805084745763
