dataset,perturbation,requested_severity,seed,word_accuracy,char_accuracy,accuracy_difference,word_retention,char_retention,retention_difference
banking77,typo,0.4,84,0.6652597402597402,0.7808441558441559,0.11558441558441568,0.7469923441487422,0.8638649425287357,0.11687259837999353
banking77,typo,0.4,123,0.6548701298701298,0.7860389610389611,0.13116883116883127,0.7353262850893182,0.8696120689655173,0.13428578387619916
banking77,typo,0.4,256,0.6571428571428571,0.7737012987012987,0.11655844155844153,0.7378782355085672,0.8559626436781609,0.11808440816959365
banking77,typo,0.4,512,0.660064935064935,0.7873376623376623,0.12727272727272732,0.7411593146190302,0.8710488505747127,0.12988953595568253
banking77,typo,0.4,1024,0.6737012987012987,0.7925324675324675,0.11883116883116884,0.7564710171345242,0.8767959770114943,0.12032495987697
banking77,typo,0.4,2026,0.6649350649350649,0.7928571428571428,0.12792207792207788,0.7466277798031352,0.877155172413793,0.13052739261065782
banking77,char_delete,0.4,1,0.7159090909090909,0.8616883116883117,0.1457792207792208,0.8038643820634342,0.9533045977011496,0.14944021563771537
banking77,char_delete,0.4,7,0.7081168831168831,0.8594155844155844,0.15129870129870127,0.7951148377688663,0.9507902298850576,0.1556753921161913
banking77,char_delete,0.4,21,0.7175324675324676,0.8571428571428571,0.13961038961038952,0.8056872037914692,0.9482758620689656,0.14258865827749645
banking77,char_delete,0.4,42,0.7259740259740259,0.8639610389610389,0.137987012987013,0.8151658767772512,0.9558189655172412,0.14065308873999005
banking77,char_delete,0.4,84,0.7113636363636363,0.8626623376623377,0.15129870129870138,0.7987604812249361,0.954382183908046,0.15562170268310982
banking77,char_delete,0.4,123,0.7107142857142857,0.8587662337662337,0.148051948051948,0.7980313525337223,0.9500718390804598,0.15204048654673752
banking77,char_delete,0.4,256,0.7172077922077922,0.8558441558441559,0.13863636363636367,0.8053226394458621,0.9468390804597702,0.14151644101390803
banking77,char_delete,0.4,512,0.724025974025974,0.8678571428571429,0.14383116883116887,0.8129784907036092,0.9601293103448276,0.14715081964121846
banking77,char_delete,0.4,1024,0.7318181818181818,0.8587662337662337,0.12694805194805192,0.8217280349981771,0.9500718390804598,0.12834380408228263
