dataset,perturbation,seed,word_accuracy,char_accuracy,accuracy_difference,word_retention,char_retention,retention_difference,word_relative_drop,char_relative_drop,relative_drop_difference
clinc150,char_delete,21,0.8371111111111111,0.8864444444444445,0.04933333333333334,0.9185564496464276,0.9672647914645977,0.048708341818170076,0.0814435503535722,0.0327352085354024,-0.048708341818169805
clinc150,char_delete,42,0.8424444444444444,0.8917777777777778,0.04933333333333334,0.9244086808095586,0.9730843840931136,0.04867570328355497,0.0755913191904413,0.0269156159068864,-0.0486757032835549
clinc150,char_delete,84,0.8373333333333334,0.8904444444444445,0.05311111111111111,0.9188002926115582,0.9716294859359844,0.05282919332442626,0.0811997073884417,0.0283705140640154,-0.0528291933244263
clinc150,char_delete,123,0.8368888888888889,0.8911111111111111,0.05422222222222217,0.9183126066812972,0.972356935014549,0.05404432833325179,0.0816873933187027,0.027643064985451,-0.0540443283332517
clinc150,char_delete,256,0.8351111111111111,0.89,0.054888888888888876,0.9163618629602536,0.9711445198836082,0.0547826569233546,0.0836381370397463,0.0288554801163917,-0.0547826569233546
clinc150,char_delete,512,0.8355555555555556,0.8915555555555555,0.05599999999999994,0.9168495488905146,0.9728419010669254,0.05599235217641074,0.0831504511094854,0.0271580989330746,-0.0559923521764108
clinc150,char_delete,1024,0.8357777777777777,0.886,0.05022222222222228,0.9170933918556448,0.9667798254122212,0.049686433556576426,0.082906608144355,0.0332201745877787,-0.04968643355657631
clinc150,char_delete,2026,0.8337777777777777,0.8864444444444445,0.05266666666666675,0.9148988051694708,0.9672647914645977,0.0523659862951269,0.0851011948305291,0.0327352085354024,-0.0523659862951267
clinc150,word_delete,1,0.8111111111111111,0.8075555555555556,-0.003555555555555534,0.8900268227261644,0.8811833171677983,-0.008843505558366105,0.1099731772738356,0.1188166828322016,0.008843505558366008
clinc150,word_delete,7,0.814,0.8124444444444444,-0.0015555555555555323,0.8931967812728602,0.8865179437439379,-0.006678837528922288,0.1068032187271397,0.113482056256062,0.006678837528922302
clinc150,word_delete,21,0.8075555555555556,0.8057777777777778,-0.001777777777777767,0.8861253352840771,0.879243452958293,-0.006881882325784128,0.1138746647159229,0.1207565470417069,0.006881882325783989
clinc150,word_delete,42,0.8137777777777778,0.8117777777777778,-0.0020000000000000018,0.8929529383077299,0.8857904946653735,-0.007162443642356409,0.1070470616922701,0.1142095053346264,0.007162443642356298
clinc150,word_delete,84,0.8086666666666666,0.8115555555555556,0.002888888888888941,0.8873445501097293,0.8855480116391853,-0.0017965384705440623,0.1126554498902706,0.1144519883608146,0.0017965384705440068
clinc150,word_delete,123,0.8066666666666666,0.8077777777777778,0.0011111111111111738,0.8851499634235552,0.8814258001939865,-0.0037241632295687,0.1148500365764448,0.1185741998060134,0.003724163229568603
clinc150,word_delete,256,0.8102222222222222,0.8115555555555556,0.0013333333333334085,0.8890514508656425,0.8855480116391853,-0.003503439226457239,0.1109485491343575,0.1144519883608146,0.0035034392264571
clinc150,word_delete,512,0.8004444444444444,0.8053333333333333,0.004888888888888943,0.8783223603999024,0.8787584869059166,0.00043612650601421166,0.1216776396000975,0.1212415130940833,-0.0004361265060141978
clinc150,word_delete,1024,0.8068888888888889,0.8095555555555556,0.002666666666666706,0.8853938063886857,0.8833656644034918,-0.0020281419851938542,0.1146061936113143,0.1166343355965081,0.0020281419851937987
clinc150,word_delete,2026,0.8066666666666666,0.8093333333333333,0.002666666666666706,0.8851499634235552,0.8831231813773036,-0.0020267820462516184,0.1148500365764448,0.1168768186226963,0.0020267820462515074
hwu64,typo,1,0.7611524163568774,0.8197026022304833,0.05855018587360594,0.8854054054054055,0.934322033898305,0.04891662849289957,0.1145945945945945,0.0656779661016949,-0.0489166284928996
hwu64,typo,7,0.7611524163568774,0.8141263940520446,0.05297397769516721,0.8854054054054055,0.9279661016949152,0.04256069628950976,0.1145945945945945,0.0720338983050848,-0.0425606962895097
hwu64,typo,21,0.766728624535316,0.8262081784386617,0.059479553903345694,0.8918918918918919,0.9417372881355932,0.04984539624370132,0.108108108108108,0.0582627118644068,-0.049845396243701205
hwu64,typo,42,0.766728624535316,0.8159851301115242,0.0492565055762082,0.8918918918918919,0.9300847457627118,0.03819285387081994,0.108108108108108,0.0699152542372881,-0.0381928538708199
hwu64,typo,84,0.7778810408921933,0.8234200743494424,0.04553903345724908,0.904864864864865,0.9385593220338982,0.0336944571690333,0.095135135135135,0.0614406779661017,-0.0336944571690333
hwu64,typo,123,0.7620817843866171,0.8150557620817844,0.05297397769516732,0.8864864864864865,0.9290254237288136,0.042538937242327046,0.1135135135135134,0.0709745762711864,-0.04253893724232699
hwu64,typo,256,0.7760223048327137,0.828996282527881,0.05297397769516732,0.9027027027027028,0.944915254237288,0.04221255153458514,0.0972972972972972,0.0550847457627119,-0.04221255153458531
hwu64,typo,512,0.7788104089219331,0.8280669144981413,0.0492565055762082,0.905945945945946,0.9438559322033898,0.037909986257443795,0.094054054054054,0.0561440677966101,-0.03790998625744389
hwu64,typo,1024,0.7723048327137546,0.8104089219330854,0.03810408921933084,0.8983783783783784,0.923728813559322,0.025350435180943598,0.1016216216216216,0.076271186440678,-0.025350435180943598
hwu64,typo,2026,0.7732342007434945,0.820631970260223,0.04739776951672858,0.8994594594594596,0.9353813559322034,0.0359218964727438,0.1005405405405404,0.0646186440677966,-0.0359218964727438
hwu64,char_delete,1,0.7964684014869888,0.8513011152416357,0.05483271375464682,0.9264864864864863,0.9703389830508472,0.043852496564360854,0.0735135135135135,0.0296610169491526,-0.043852496564360896
hwu64,char_delete,7,0.7676579925650557,0.8466542750929368,0.07899628252788105,0.892972972972973,0.965042372881356,0.07206939990838301,0.107027027027027,0.0349576271186441,-0.0720693999083829
hwu64,char_delete,21,0.7806691449814126,0.8429368029739777,0.06226765799256506,0.908108108108108,0.9608050847457626,0.0526969766376546,0.0918918918918919,0.0391949152542373,-0.052696976637654595
hwu64,char_delete,42,0.7927509293680297,0.8447955390334573,0.052044609665427566,0.9221621621621622,0.9629237288135593,0.040761566651397074,0.0778378378378378,0.0370762711864407,-0.04076156665139711
hwu64,char_delete,84,0.7825278810408922,0.8578066914498141,0.07527881040892193,0.9102702702702704,0.9777542372881356,0.06748396701786519,0.0897297297297296,0.0222457627118644,-0.0674839670178652
hwu64,char_delete,123,0.7871747211895911,0.8438661710037175,0.05669144981412644,0.9156756756756758,0.961864406779661,0.04618873110398525,0.0843243243243242,0.0381355932203389,-0.046188731103985296
hwu64,char_delete,256,0.7695167286245354,0.8447955390334573,0.07527881040892193,0.8951351351351352,0.9629237288135593,0.06778859367842405,0.1048648648648647,0.0370762711864407,-0.06778859367842399
hwu64,char_delete,512,0.8011152416356877,0.8513011152416357,0.05018587360594795,0.931891891891892,0.9703389830508472,0.03844709115895517,0.0681081081081081,0.0296610169491526,-0.038447091158955504
hwu64,char_delete,1024,0.7881040892193308,0.8513011152416357,0.06319702602230481,0.9167567567567568,0.9703389830508472,0.053582226294090374,0.0832432432432432,0.0296610169491526,-0.053582226294090596
hwu64,char_delete,2026,0.7806691449814126,0.8475836431226765,0.06691449814126393,0.908108108108108,0.966101694915254,0.05799358680714595,0.0918918918918919,0.0338983050847458,-0.0579935868071461
hwu64,word_delete,1,0.7602230483271375,0.7732342007434945,0.013011152416356975,0.8843243243243243,0.8813559322033898,-0.002968392120934471,0.1156756756756757,0.1186440677966101,0.0029683921209344016
hwu64,word_delete,7,0.7630111524163569,0.79182156133829,0.028810408921933095,0.8875675675675676,0.902542372881356,0.014974805313788364,0.1124324324324324,0.0974576271186441,-0.014974805313788295
hwu64,word_delete,21,0.7769516728624535,0.79182156133829,0.014869888475836479,0.9037837837837838,0.902542372881356,-0.0012414109024277975,0.0962162162162162,0.0974576271186441,0.0012414109024278946
hwu64,word_delete,42,0.7490706319702602,0.7769516728624535,0.027881040892193232,0.8713513513513514,0.8855932203389829,0.014241868987631467,0.1286486486486485,0.114406779661017,-0.014241868987631495
hwu64,word_delete,84,0.7639405204460966,0.775092936802974,0.01115241635687736,0.8886486486486487,0.8834745762711864,-0.005174072377462258,0.1113513513513513,0.1165254237288136,0.005174072377462299
hwu64,word_delete,123,0.7713754646840149,0.7862453531598513,0.014869888475836479,0.8972972972972973,0.896186440677966,-0.0011108566193313019,0.1027027027027026,0.1038135593220339,0.0011108566193313019
hwu64,word_delete,256,0.7527881040892194,0.7788104089219331,0.026022304832713727,0.8756756756756757,0.8877118644067796,0.012036188731103903,0.1243243243243242,0.1122881355932203,-0.012036188731103903
hwu64,word_delete,512,0.7704460966542751,0.7927509293680297,0.022304832713754608,0.8962162162162163,0.903601694915254,0.0073854786990377175,0.1037837837837837,0.0963983050847458,-0.007385478699037898
hwu64,word_delete,1024,0.7676579925650557,0.7825278810408922,0.014869888475836479,0.892972972972973,0.8919491525423728,-0.0010238204306001197,0.107027027027027,0.1080508474576271,0.001023820430600092
hwu64,word_delete,2026,0.7630111524163569,0.7788104089219331,0.01579925650557623,0.8875675675675676,0.8877118644067796,0.0001442968392120214,0.1124324324324324,0.1122881355932203,-0.0001442968392120908
